tipo_documento,num_documento,nombre,correo,tiposusuario_tipo
CE,2572,Jenny,correo4@example.com,Gerente
TI,2852,Juan,correo3@example.com,Administrador
TI,2753,Jenny,correo4@example.com,Administrador
CC,366,Santiago,correo3@example.com,Gerente
CIF,1765,Juanita,correo1@example.com,Gerente
TI,2719,Jenny,correo3@example.com,Recepcionista
pasaporte,492,Samuel,correo1@example.com,Empleado
pasaporte,1244,Juan,correo1@example.com,Recepcionista
TI,1924,Ernesto,correo2@example.com,Empleado
CIF,2145,Santiago,correo1@example.com,Recepcionista
TI,2208,Samuel,correo3@example.com,Gerente
CIF,1313,Samuel,correo2@example.com,Recepcionista
pasaporte,1235,Ernesto,correo4@example.com,Recepcionista
TI,627,Juliana,correo4@example.com,Recepcionista
pasaporte,1819,Samuel,correo5@example.com,Recepcionista
TI,1539,Carlos,correo4@example.com,Administrador
CC,1587,Juan,correo4@example.com,Administrador
pasaporte,484,Samuel,correo4@example.com,Recepcionista
CC,630,Jenny,correo2@example.com,Recepcionista
CC,999,Juliana,correo5@example.com,Administrador
CIF,487,Alejandro,correo3@example.com,Recepcionista
pasaporte,1337,Samuel,correo3@example.com,Gerente
TI,1455,Juliana,correo1@example.com,Recepcionista
CIF,2574,Jenny,correo5@example.com,Empleado
TI,1771,Ernesto,correo3@example.com,Administrador
CC,2500,Carlos,correo1@example.com,Administrador
TI,2296,Jenny,correo1@example.com,Recepcionista
TI,2877,Ernesto,correo5@example.com,Empleado
pasaporte,1561,Juanita,correo4@example.com,Administrador
TI,836,Ernesto,correo2@example.com,Recepcionista
TI,2211,Juanita,correo4@example.com,Administrador
TI,2443,Ernesto,correo2@example.com,Empleado
TI,1808,Santiago,correo2@example.com,Recepcionista
pasaporte,2067,Juan,correo2@example.com,Gerente
CE,2531,Carlos,correo3@example.com,Recepcionista
CIF,250,Ernesto,correo1@example.com,Empleado
TI,2746,Juan,correo2@example.com,Empleado
CIF,1804,Juanita,correo3@example.com,Recepcionista
CC,684,Juliana,correo4@example.com,Gerente
CC,1810,Carlos,correo1@example.com,Recepcionista
CIF,1796,Juan,correo2@example.com,Administrador
pasaporte,1204,Ernesto,correo2@example.com,Recepcionista
CIF,880,Santiago,correo5@example.com,Empleado
CC,1354,Juanita,correo3@example.com,Gerente
CE,2199,Samuel,correo4@example.com,Gerente
CE,2276,Jenny,correo1@example.com,Recepcionista
CIF,128,Jenny,correo2@example.com,Empleado
pasaporte,1406,Jenny,correo1@example.com,Empleado
CC,91,Alejandro,correo1@example.com,Administrador
CC,1085,Santiago,correo1@example.com,Gerente
CC,1153,Juan,correo1@example.com,Recepcionista
CE,1767,Jenny,correo1@example.com,Empleado
TI,464,Samuel,correo5@example.com,Administrador
pasaporte,2785,Juan,correo5@example.com,Recepcionista
TI,614,Juanita,correo5@example.com,Gerente
CC,728,Alejandro,correo5@example.com,Empleado
pasaporte,271,Juanita,correo5@example.com,Empleado
CE,975,Santiago,correo4@example.com,Gerente
TI,241,Juliana,correo5@example.com,Gerente
pasaporte,2049,Juan,correo1@example.com,Empleado
CIF,1449,Santiago,correo2@example.com,Gerente
CE,1598,Samuel,correo4@example.com,Gerente
pasaporte,1725,Juanita,correo3@example.com,Empleado
CE,1337,Carlos,correo1@example.com,Recepcionista
CC,1328,Juliana,correo4@example.com,Empleado
CC,2471,Juliana,correo5@example.com,Administrador
CIF,104,Samuel,correo3@example.com,Empleado
TI,324,Carlos,correo4@example.com,Administrador
CC,2352,Santiago,correo1@example.com,Recepcionista
TI,299,Jenny,correo5@example.com,Empleado
TI,463,Alejandro,correo4@example.com,Gerente
TI,2526,Juanita,correo2@example.com,Empleado
pasaporte,633,Santiago,correo1@example.com,Gerente
TI,2071,Jenny,correo1@example.com,Administrador
CE,1186,Juan,correo4@example.com,Recepcionista
pasaporte,943,Juan,correo3@example.com,Gerente
CIF,510,Juanita,correo3@example.com,Administrador
CIF,1627,Santiago,correo5@example.com,Empleado
pasaporte,1846,Alejandro,correo2@example.com,Administrador
CE,1025,Juanita,correo2@example.com,Administrador
CE,331,Jenny,correo4@example.com,Recepcionista
CIF,1149,Santiago,correo1@example.com,Administrador
CIF,94,Jenny,correo3@example.com,Recepcionista
CIF,2662,Juanita,correo1@example.com,Administrador
pasaporte,7,Juanita,correo2@example.com,Administrador
CE,1935,Ernesto,correo5@example.com,Empleado
CE,2753,Juan,correo4@example.com,Recepcionista
pasaporte,2665,Ernesto,correo4@example.com,Administrador
CIF,69,Samuel,correo4@example.com,Administrador
TI,1523,Juanita,correo5@example.com,Empleado
pasaporte,985,Samuel,correo5@example.com,Gerente
CIF,117,Juan,correo3@example.com,Empleado
pasaporte,1198,Carlos,correo1@example.com,Administrador
CIF,39,Ernesto,correo2@example.com,Administrador
TI,235,Juanita,correo4@example.com,Administrador
TI,1495,Juanita,correo2@example.com,Empleado
CE,599,Ernesto,correo1@example.com,Administrador
CE,1158,Santiago,correo2@example.com,Empleado
pasaporte,1044,Juliana,correo1@example.com,Administrador
CC,1986,Juan,correo2@example.com,Empleado
pasaporte,2094,Ernesto,correo4@example.com,Empleado
CC,2405,Juan,correo3@example.com,Recepcionista
CIF,1089,Juliana,correo2@example.com,Administrador
CE,858,Juanita,correo1@example.com,Recepcionista
CE,844,Juliana,correo1@example.com,Gerente
pasaporte,2993,Samuel,correo1@example.com,Recepcionista
CC,205,Jenny,correo1@example.com,Empleado
CIF,812,Juliana,correo2@example.com,Empleado
CC,105,Jenny,correo2@example.com,Empleado
pasaporte,1106,Ernesto,correo1@example.com,Empleado
CIF,2263,Jenny,correo4@example.com,Administrador
pasaporte,169,Carlos,correo1@example.com,Recepcionista
pasaporte,2228,Jenny,correo5@example.com,Empleado
CC,1302,Jenny,correo1@example.com,Empleado
pasaporte,1620,Carlos,correo1@example.com,Administrador
CC,1064,Carlos,correo5@example.com,Administrador
CE,1065,Juliana,correo1@example.com,Recepcionista
CC,2440,Juanita,correo3@example.com,Gerente
CIF,803,Ernesto,correo1@example.com,Gerente
CC,943,Jenny,correo5@example.com,Empleado
CE,319,Samuel,correo5@example.com,Empleado
TI,2508,Juanita,correo1@example.com,Empleado
CE,922,Carlos,correo3@example.com,Recepcionista
CC,404,Juanita,correo4@example.com,Gerente
TI,835,Juliana,correo3@example.com,Empleado
CIF,2068,Jenny,correo3@example.com,Recepcionista
TI,2062,Juanita,correo5@example.com,Empleado
pasaporte,386,Samuel,correo2@example.com,Recepcionista
CC,1575,Juanita,correo1@example.com,Recepcionista
CE,2028,Jenny,correo3@example.com,Administrador
pasaporte,238,Juanita,correo1@example.com,Gerente
pasaporte,2477,Carlos,correo3@example.com,Recepcionista
pasaporte,2380,Alejandro,correo3@example.com,Gerente
TI,1002,Jenny,correo3@example.com,Gerente
TI,2465,Samuel,correo5@example.com,Administrador
TI,2380,Santiago,correo5@example.com,Recepcionista
TI,2274,Jenny,correo4@example.com,Empleado
pasaporte,1782,Ernesto,correo1@example.com,Administrador
CC,35,Ernesto,correo5@example.com,Administrador
CE,1394,Juliana,correo1@example.com,Recepcionista
CC,905,Juan,correo5@example.com,Gerente
pasaporte,2100,Santiago,correo1@example.com,Gerente
CE,779,Juliana,correo1@example.com,Administrador
CC,132,Alejandro,correo1@example.com,Recepcionista
pasaporte,1679,Alejandro,correo1@example.com,Empleado
CE,2040,Juliana,correo4@example.com,Gerente
pasaporte,2667,Jenny,correo2@example.com,Gerente
pasaporte,1578,Juanita,correo1@example.com,Gerente
TI,527,Ernesto,correo1@example.com,Gerente
CIF,237,Juan,correo3@example.com,Recepcionista
CE,374,Santiago,correo3@example.com,Empleado
TI,2561,Juan,correo1@example.com,Gerente
CIF,2335,Ernesto,correo5@example.com,Empleado
CIF,162,Carlos,correo2@example.com,Empleado
CE,2128,Juan,correo2@example.com,Empleado
CIF,2866,Samuel,correo3@example.com,Recepcionista
CIF,442,Carlos,correo5@example.com,Administrador
TI,547,Samuel,correo2@example.com,Recepcionista
CC,1419,Juliana,correo3@example.com,Empleado
CIF,1882,Juliana,correo3@example.com,Recepcionista
CIF,306,Samuel,correo1@example.com,Recepcionista
CC,1866,Santiago,correo3@example.com,Recepcionista
CIF,2459,Alejandro,correo3@example.com,Gerente
CIF,1106,Samuel,correo2@example.com,Gerente
CIF,335,Alejandro,correo2@example.com,Recepcionista
CC,2597,Juan,correo5@example.com,Administrador
CC,2033,Samuel,correo2@example.com,Gerente
CIF,1306,Jenny,correo1@example.com,Administrador
CIF,1619,Samuel,correo5@example.com,Recepcionista
pasaporte,681,Jenny,correo5@example.com,Empleado
pasaporte,112,Samuel,correo1@example.com,Gerente
pasaporte,724,Santiago,correo1@example.com,Gerente
CIF,614,Santiago,correo1@example.com,Gerente
pasaporte,854,Alejandro,correo1@example.com,Administrador
pasaporte,250,Juanita,correo3@example.com,Gerente
CIF,2743,Santiago,correo5@example.com,Empleado
CIF,2464,Jenny,correo2@example.com,Recepcionista
CE,852,Samuel,correo1@example.com,Administrador
pasaporte,2794,Jenny,correo4@example.com,Gerente
CIF,2949,Ernesto,correo1@example.com,Empleado
CIF,1575,Alejandro,correo5@example.com,Administrador
TI,405,Juan,correo2@example.com,Administrador
CE,1794,Alejandro,correo2@example.com,Empleado
pasaporte,354,Samuel,correo2@example.com,Recepcionista
CE,1779,Alejandro,correo1@example.com,Gerente
CE,2819,Carlos,correo3@example.com,Administrador
pasaporte,2701,Carlos,correo5@example.com,Administrador
CIF,1364,Carlos,correo5@example.com,Recepcionista
CIF,2895,Ernesto,correo4@example.com,Recepcionista
CIF,419,Juan,correo2@example.com,Gerente
CC,2232,Alejandro,correo2@example.com,Recepcionista
CE,1466,Juan,correo4@example.com,Gerente
CIF,919,Ernesto,correo5@example.com,Gerente
CC,1396,Juliana,correo5@example.com,Empleado
CIF,457,Samuel,correo1@example.com,Administrador
pasaporte,139,Juan,correo5@example.com,Empleado
pasaporte,924,Carlos,correo1@example.com,Empleado
CE,2620,Juliana,correo3@example.com,Gerente
CE,1392,Samuel,correo1@example.com,Administrador
CC,402,Juliana,correo4@example.com,Recepcionista
pasaporte,2419,Samuel,correo2@example.com,Empleado
CE,426,Jenny,correo5@example.com,Recepcionista
CIF,378,Juan,correo5@example.com,Empleado
pasaporte,2491,Carlos,correo3@example.com,Administrador
CC,481,Ernesto,correo2@example.com,Recepcionista
CIF,2997,Juliana,correo2@example.com,Recepcionista
CIF,1239,Ernesto,correo3@example.com,Empleado
CIF,2043,Santiago,correo5@example.com,Empleado
pasaporte,1881,Ernesto,correo5@example.com,Gerente
TI,1820,Juliana,correo4@example.com,Administrador
CC,1606,Carlos,correo5@example.com,Administrador
CC,544,Carlos,correo5@example.com,Administrador
CIF,1856,Juliana,correo2@example.com,Gerente
CIF,2912,Juan,correo3@example.com,Empleado
CE,2403,Ernesto,correo1@example.com,Recepcionista
CC,1484,Jenny,correo4@example.com,Administrador
CE,1481,Samuel,correo5@example.com,Administrador
CC,2982,Juliana,correo2@example.com,Gerente
TI,1689,Alejandro,correo1@example.com,Administrador
pasaporte,1954,Alejandro,correo5@example.com,Recepcionista
TI,2799,Santiago,correo5@example.com,Administrador
CIF,231,Juliana,correo2@example.com,Empleado
CIF,318,Carlos,correo2@example.com,Recepcionista
CC,2831,Juanita,correo1@example.com,Recepcionista
CC,2492,Carlos,correo4@example.com,Gerente
CC,1918,Alejandro,correo3@example.com,Administrador
CIF,1594,Carlos,correo5@example.com,Gerente
CIF,849,Alejandro,correo1@example.com,Empleado
CE,1512,Santiago,correo3@example.com,Recepcionista
CC,1496,Juan,correo3@example.com,Administrador
CE,1828,Santiago,correo1@example.com,Administrador
pasaporte,720,Jenny,correo5@example.com,Empleado
CE,2022,Ernesto,correo2@example.com,Gerente
CIF,473,Jenny,correo1@example.com,Empleado
CIF,1985,Alejandro,correo2@example.com,Administrador
CC,2088,Alejandro,correo3@example.com,Empleado
CC,2763,Jenny,correo3@example.com,Administrador
pasaporte,930,Juan,correo2@example.com,Empleado
pasaporte,2509,Carlos,correo5@example.com,Empleado
CC,1994,Santiago,correo4@example.com,Empleado
pasaporte,1624,Carlos,correo4@example.com,Recepcionista
CE,2776,Samuel,correo1@example.com,Gerente
pasaporte,1265,Juan,correo4@example.com,Gerente
CIF,491,Santiago,correo1@example.com,Recepcionista
CC,2894,Jenny,correo1@example.com,Empleado
CC,2134,Juan,correo4@example.com,Empleado
CE,2839,Santiago,correo4@example.com,Administrador
pasaporte,1591,Jenny,correo2@example.com,Gerente
CC,93,Santiago,correo1@example.com,Empleado
CC,601,Carlos,correo4@example.com,Empleado
TI,2346,Santiago,correo2@example.com,Administrador
TI,1742,Juliana,correo3@example.com,Empleado
CC,2814,Alejandro,correo1@example.com,Gerente
CIF,1403,Santiago,correo3@example.com,Administrador
CE,2463,Carlos,correo3@example.com,Empleado
CIF,2597,Juan,correo2@example.com,Empleado
CC,2666,Santiago,correo1@example.com,Recepcionista
pasaporte,1286,Juliana,correo1@example.com,Gerente
pasaporte,2481,Samuel,correo1@example.com,Gerente
TI,1951,Juliana,correo2@example.com,Recepcionista
TI,2009,Juliana,correo4@example.com,Gerente
CE,467,Juanita,correo1@example.com,Recepcionista
pasaporte,920,Juan,correo2@example.com,Recepcionista
TI,552,Santiago,correo1@example.com,Administrador
CE,1533,Juan,correo3@example.com,Recepcionista
CE,2371,Samuel,correo3@example.com,Gerente
CIF,2815,Santiago,correo5@example.com,Administrador
pasaporte,1567,Juan,correo2@example.com,Administrador
CE,1650,Jenny,correo2@example.com,Gerente
CE,1163,Carlos,correo1@example.com,Empleado
CIF,435,Ernesto,correo3@example.com,Recepcionista
pasaporte,219,Juanita,correo2@example.com,Gerente
TI,1066,Santiago,correo5@example.com,Empleado
pasaporte,2074,Alejandro,correo2@example.com,Empleado
TI,619,Juan,correo3@example.com,Recepcionista
pasaporte,1914,Jenny,correo5@example.com,Administrador
pasaporte,408,Samuel,correo4@example.com,Empleado
TI,847,Ernesto,correo1@example.com,Administrador
pasaporte,1889,Santiago,correo1@example.com,Gerente
CE,467,Carlos,correo3@example.com,Empleado
CIF,2019,Jenny,correo2@example.com,Empleado
CIF,2739,Carlos,correo4@example.com,Gerente
CIF,872,Juan,correo4@example.com,Gerente
CIF,2717,Alejandro,correo4@example.com,Gerente
CIF,2698,Juan,correo5@example.com,Recepcionista
pasaporte,131,Santiago,correo3@example.com,Administrador
CIF,149,Alejandro,correo3@example.com,Gerente
CIF,2369,Ernesto,correo2@example.com,Administrador
TI,1214,Alejandro,correo1@example.com,Recepcionista
CC,2650,Ernesto,correo2@example.com,Recepcionista
CE,1521,Santiago,correo5@example.com,Empleado
CC,1621,Samuel,correo1@example.com,Recepcionista
CIF,928,Alejandro,correo1@example.com,Gerente
pasaporte,1518,Ernesto,correo3@example.com,Gerente
CC,2447,Samuel,correo5@example.com,Gerente
CIF,25,Ernesto,correo3@example.com,Gerente
CC,2579,Alejandro,correo5@example.com,Empleado
CIF,2606,Juanita,correo2@example.com,Empleado
CE,458,Alejandro,correo1@example.com,Recepcionista
CIF,878,Juanita,correo1@example.com,Recepcionista
CE,2950,Carlos,correo2@example.com,Administrador
TI,895,Samuel,correo4@example.com,Gerente
CE,1929,Jenny,correo1@example.com,Recepcionista
CC,1985,Jenny,correo3@example.com,Recepcionista
CE,530,Santiago,correo3@example.com,Empleado
CE,1047,Alejandro,correo2@example.com,Administrador
CIF,1112,Samuel,correo5@example.com,Empleado
CC,1148,Juan,correo5@example.com,Recepcionista
CC,2296,Santiago,correo5@example.com,Administrador
CE,2342,Alejandro,correo1@example.com,Administrador
CC,788,Carlos,correo5@example.com,Gerente
CC,2560,Juanita,correo5@example.com,Gerente
TI,1590,Santiago,correo5@example.com,Administrador
CC,1930,Ernesto,correo2@example.com,Administrador
TI,821,Alejandro,correo1@example.com,Recepcionista
pasaporte,1134,Ernesto,correo2@example.com,Empleado
CE,1770,Ernesto,correo4@example.com,Empleado
pasaporte,2764,Juliana,correo1@example.com,Recepcionista
CC,376,Samuel,correo3@example.com,Empleado
CC,306,Juan,correo3@example.com,Empleado
CIF,2958,Samuel,correo5@example.com,Gerente
pasaporte,320,Juan,correo5@example.com,Empleado
CIF,1915,Alejandro,correo1@example.com,Recepcionista
TI,2380,Juliana,correo4@example.com,Recepcionista
pasaporte,289,Samuel,correo3@example.com,Empleado
CE,2154,Alejandro,correo4@example.com,Gerente
CIF,2720,Santiago,correo5@example.com,Empleado
TI,1713,Santiago,correo4@example.com,Empleado
pasaporte,742,Alejandro,correo1@example.com,Empleado
CC,1571,Juanita,correo3@example.com,Empleado
CE,139,Carlos,correo5@example.com,Empleado
TI,876,Juanita,correo3@example.com,Administrador
CC,1833,Juliana,correo1@example.com,Empleado
pasaporte,1643,Carlos,correo1@example.com,Gerente
CC,2692,Alejandro,correo4@example.com,Recepcionista
CC,587,Samuel,correo5@example.com,Administrador
CE,602,Alejandro,correo1@example.com,Gerente
CC,1557,Jenny,correo5@example.com,Gerente
TI,1754,Jenny,correo1@example.com,Empleado
CIF,2546,Alejandro,correo5@example.com,Gerente
CC,1037,Jenny,correo1@example.com,Empleado
CE,2822,Juan,correo1@example.com,Recepcionista
TI,788,Juanita,correo5@example.com,Gerente
TI,875,Juliana,correo5@example.com,Empleado
TI,1138,Juliana,correo5@example.com,Recepcionista
TI,823,Carlos,correo2@example.com,Gerente
CIF,787,Samuel,correo4@example.com,Gerente
pasaporte,2063,Juan,correo3@example.com,Administrador
CE,362,Juanita,correo2@example.com,Empleado
pasaporte,79,Santiago,correo2@example.com,Gerente
CE,2399,Jenny,correo2@example.com,Recepcionista
CIF,383,Juan,correo2@example.com,Empleado
CC,2834,Juanita,correo3@example.com,Empleado
CC,667,Juan,correo3@example.com,Recepcionista
CE,265,Jenny,correo3@example.com,Recepcionista
CIF,2842,Jenny,correo4@example.com,Recepcionista
TI,822,Samuel,correo5@example.com,Recepcionista
CC,2768,Carlos,correo2@example.com,Empleado
CIF,858,Juan,correo1@example.com,Empleado
CC,1923,Juanita,correo3@example.com,Gerente
CE,891,Juan,correo3@example.com,Administrador
pasaporte,241,Samuel,correo3@example.com,Empleado
CIF,286,Carlos,correo5@example.com,Administrador
pasaporte,957,Jenny,correo1@example.com,Gerente
CIF,563,Alejandro,correo2@example.com,Administrador
TI,278,Santiago,correo5@example.com,Recepcionista
TI,1781,Samuel,correo5@example.com,Empleado
CIF,414,Juanita,correo2@example.com,Gerente
TI,1030,Santiago,correo2@example.com,Administrador
pasaporte,77,Samuel,correo1@example.com,Empleado
CE,398,Juan,correo1@example.com,Recepcionista
CC,568,Alejandro,correo1@example.com,Administrador
CC,1884,Jenny,correo3@example.com,Empleado
CIF,2676,Samuel,correo3@example.com,Administrador
CE,2323,Juliana,correo3@example.com,Empleado
CIF,942,Jenny,correo1@example.com,Administrador
CC,2235,Samuel,correo2@example.com,Administrador
TI,2009,Ernesto,correo2@example.com,Recepcionista
CE,765,Alejandro,correo2@example.com,Administrador
CE,1483,Carlos,correo5@example.com,Empleado
TI,2871,Ernesto,correo2@example.com,Administrador
pasaporte,108,Ernesto,correo3@example.com,Administrador
TI,1738,Santiago,correo2@example.com,Gerente
pasaporte,1351,Juliana,correo4@example.com,Recepcionista
pasaporte,1538,Samuel,correo5@example.com,Gerente
pasaporte,844,Jenny,correo2@example.com,Recepcionista
pasaporte,99,Jenny,correo4@example.com,Recepcionista
pasaporte,593,Juanita,correo4@example.com,Recepcionista
CC,2112,Carlos,correo5@example.com,Administrador
CE,1884,Juanita,correo5@example.com,Administrador
TI,1641,Juanita,correo2@example.com,Empleado
CIF,1204,Ernesto,correo1@example.com,Administrador
pasaporte,589,Jenny,correo2@example.com,Recepcionista
CC,763,Juliana,correo2@example.com,Gerente
CC,1580,Carlos,correo5@example.com,Empleado
CIF,350,Juanita,correo3@example.com,Recepcionista
TI,2765,Juliana,correo5@example.com,Recepcionista
pasaporte,801,Juliana,correo1@example.com,Administrador
CC,194,Ernesto,correo5@example.com,Empleado
CC,1965,Jenny,correo5@example.com,Administrador
TI,2867,Samuel,correo2@example.com,Administrador
CE,2893,Juliana,correo1@example.com,Empleado
CE,2804,Alejandro,correo2@example.com,Administrador
TI,622,Juanita,correo5@example.com,Empleado
TI,1213,Santiago,correo1@example.com,Recepcionista
CIF,694,Ernesto,correo2@example.com,Gerente
CE,318,Jenny,correo5@example.com,Empleado
CC,1532,Ernesto,correo1@example.com,Administrador
pasaporte,1907,Juliana,correo3@example.com,Gerente
pasaporte,2251,Juanita,correo2@example.com,Recepcionista
CE,2917,Jenny,correo4@example.com,Empleado
CIF,1754,Alejandro,correo5@example.com,Gerente
CIF,2001,Ernesto,correo4@example.com,Recepcionista
CE,1288,Santiago,correo4@example.com,Administrador
CC,2059,Santiago,correo5@example.com,Administrador
CE,2833,Samuel,correo1@example.com,Administrador
CE,932,Ernesto,correo2@example.com,Recepcionista
CIF,1484,Samuel,correo1@example.com,Recepcionista
CE,1524,Jenny,correo1@example.com,Gerente
pasaporte,2983,Alejandro,correo1@example.com,Gerente
CIF,1331,Ernesto,correo3@example.com,Empleado
TI,2175,Samuel,correo2@example.com,Gerente
CIF,882,Carlos,correo4@example.com,Administrador
TI,2317,Santiago,correo2@example.com,Empleado
TI,2890,Ernesto,correo4@example.com,Recepcionista
CE,2525,Juliana,correo1@example.com,Administrador
CIF,305,Alejandro,correo4@example.com,Gerente
CC,2071,Juan,correo1@example.com,Recepcionista
CE,1127,Juan,correo1@example.com,Gerente
TI,2099,Juliana,correo5@example.com,Empleado
CE,2002,Juliana,correo1@example.com,Administrador
CC,2098,Ernesto,correo2@example.com,Administrador
CE,417,Samuel,correo4@example.com,Empleado
TI,1845,Samuel,correo5@example.com,Gerente
TI,1443,Jenny,correo3@example.com,Administrador
CE,1007,Jenny,correo2@example.com,Administrador
CE,1212,Ernesto,correo3@example.com,Gerente
CIF,2156,Samuel,correo4@example.com,Gerente
CIF,423,Jenny,correo3@example.com,Administrador
CIF,1183,Juan,correo4@example.com,Recepcionista
pasaporte,2147,Juan,correo4@example.com,Administrador
CC,1638,Juliana,correo3@example.com,Empleado
CE,189,Juanita,correo4@example.com,Administrador
pasaporte,1127,Jenny,correo4@example.com,Recepcionista
CE,2516,Jenny,correo3@example.com,Empleado
CE,1515,Juanita,correo5@example.com,Recepcionista
CC,1867,Ernesto,correo3@example.com,Empleado
CIF,2866,Juliana,correo1@example.com,Recepcionista
CIF,1404,Samuel,correo5@example.com,Administrador
TI,1062,Juan,correo2@example.com,Gerente
CC,739,Ernesto,correo3@example.com,Gerente
TI,1533,Carlos,correo4@example.com,Empleado
CC,628,Juanita,correo4@example.com,Gerente
CE,698,Samuel,correo5@example.com,Empleado
CC,1800,Samuel,correo1@example.com,Gerente
pasaporte,2545,Juliana,correo1@example.com,Recepcionista
CIF,1814,Juan,correo1@example.com,Gerente
CC,1639,Juliana,correo4@example.com,Gerente
CIF,2620,Jenny,correo1@example.com,Empleado
CC,2447,Ernesto,correo5@example.com,Gerente
CE,92,Samuel,correo2@example.com,Gerente
CC,1014,Ernesto,correo2@example.com,Recepcionista
CIF,498,Jenny,correo4@example.com,Administrador
CE,182,Ernesto,correo5@example.com,Administrador
CC,1721,Juanita,correo1@example.com,Gerente
CIF,321,Juanita,correo2@example.com,Empleado
CC,701,Ernesto,correo3@example.com,Administrador
CIF,1662,Carlos,correo5@example.com,Gerente
pasaporte,2139,Ernesto,correo2@example.com,Recepcionista
CC,2716,Ernesto,correo3@example.com,Gerente
TI,807,Juan,correo5@example.com,Administrador
CE,998,Juan,correo5@example.com,Gerente
